---------- SpectralCalc.com -------------
 
 query:
    database: unknown
    molecules: O2 (7)
    lower waveband limit: 0.760 microns (13157.8947368421 cm-1)
    upper waveband limit: 0.781 microns (12804.0973111396 cm-1)
    intensity threshold: none
 
 number of lines found: 374
 
molecule, isotope, frequency, intensity, einstein_a, air_halfwidth, self_halfwidth, lower_energy, t_exponent, p_shift, upper_global, lower_global, upper_local, lower_local, err1, err2, err3, err4, err5, err6, ref1, ref2, ref3, ref4, ref5, ref6, mixing_flag, upper_weight, lower_weight
7,2,12988.925501,6.024e-29,0.02139,0.0294,0.033,1518.1185,0.63,-0.0094,       b      0,       X      0,, P 33Q 32     d,4,7,6,7,5,3,46,27,15,12,1,2,,65,65
7,3,12989.873323,1.541e-29,0.02321,0.0303,0.033,1468.469,0.63,-0.0093,       b      0,       X      0,, P 32Q 31     d,3,5,6,6,5,3,46,27,15,12,1,2,,378,378
7,1,12990.457779,4.86e-26,0.02192,0.0312,0.034,1420.766,0.63,-0.0093,       b      0,       X      0,, P 31Q 30     d,5,8,7,7,5,3,45,26,15,12,1,2,,61,61
7,1,12990.502232,3.749e-27,0.0172,0.0491,0.049,1635.0686,0.74,-0.0073,       b      1,       X      1,, R  7Q  8     d,3,4,6,4,4,4,42,5,5,3,1,1,,17,17
7,1,12992.295912,3.182e-27,0.0151,0.0478,0.049,1685.41,0.73,-0.0062,       b      1,       X      1,, R  9R  9     d,3,4,6,4,4,4,42,5,5,3,1,1,,21,19
7,2,12992.720944,9.286e-29,0.02227,0.0303,0.033,1430.8589,0.63,-0.0094,       b      0,       X      0,, P 32P 32     d,4,7,6,7,5,3,46,27,15,12,1,2,,63,65
7,3,12993.726835,2.374e-29,0.02421,0.0312,0.034,1381.4967,0.63,-0.0093,       b      0,       X      0,, P 31P 31     d,3,5,6,6,5,3,46,27,15,12,1,2,,366,378
7,1,12994.341536,3.68e-27,0.01729,0.0478,0.049,1683.3643,0.73,-0.0075,       b      1,       X      1,, R  9Q 10     d,3,4,6,4,4,4,42,5,5,3,1,1,,21,21
7,2,12994.461116,8.997e-29,0.0214,0.0303,0.033,1429.1187,0.63,-0.0093,       b      0,       X      0,, P 32Q 31     d,4,7,6,7,5,3,46,27,15,12,1,2,,63,63
7,1,12994.94055,1.25e-29,0.00000007341,0.0458,0.046,343.9694,0.67,-0.0074,       b      0,       X      0,, N 15O 14     q,5,7,6,6,5,3,47,28,7,4,1,2,,25,29
7,3,12995.469042,2.296e-29,0.02322,0.0312,0.034,1379.7545,0.63,-0.0093,       b      0,       X      0,, P 31Q 30     d,3,5,6,6,5,3,46,27,15,12,1,2,,366,366
7,1,12995.712598,2.911e-27,0.01551,0.0468,0.048,1745.0832,0.72,-0.00665,       b      1,       X      1,, R 11R 11     d,3,4,6,4,4,4,42,5,5,3,1,1,,25,23
7,1,12997.779808,3.289e-27,0.01736,0.0468,0.048,1743.016,0.72,-0.0074,       b      1,       X      1,, R 11Q 12     d,3,4,6,4,4,4,42,5,5,3,1,1,,25,25
7,2,12998.15836,1.369e-28,0.02231,0.0312,0.034,1344.5273,0.63,-0.0093,       b      0,       X      0,, P 31P 31     d,4,7,6,7,5,3,46,27,15,12,1,2,,61,63
7,1,12998.728241,2.437e-27,0.01582,0.0458,0.047,1816.1005,0.67,-0.0072,       b      1,       X      1,, R 13R 13     d,3,4,6,4,4,4,42,5,5,3,1,1,,29,27
7,3,12999.222023,3.491e-29,0.02426,0.0322,0.035,1295.5273,0.63,-0.0093,       b      0,       X      0,, P 30P 30     d,3,5,6,6,5,3,46,27,15,12,1,2,,354,366
7,2,12999.906677,1.325e-28,0.02141,0.0312,0.034,1342.7789,0.63,-0.0093,       b      0,       X      0,, P 31Q 30     d,4,7,6,7,5,3,46,27,15,12,1,2,,61,61
7,1,12999.956891,1.099e-25,0.02296,0.0332,0.035,1248.2031,0.63,-0.0092,       b      0,       X      0,, P 29P 29     d,5,8,7,7,5,3,45,26,15,12,1,2,,57,59
7,1,13000.815789,2.708e-27,0.0174,0.0458,0.047,1814.0129,0.67,-0.0074,       b      1,       X      1,, R 13Q 14     d,3,4,6,4,4,4,42,5,5,3,1,1,,29,29
7,3,13000.972635,3.371e-29,0.02323,0.0322,0.035,1293.7766,0.63,-0.0092,       b      0,       X      0,, P 30Q 29     d,3,5,6,6,5,3,46,27,15,12,1,2,,354,354
7,1,13001.340473,1.884e-27,0.01604,0.0447,0.045,1898.4502,0.65,-0.0073,       b      1,       X      1,, R 15R 15     d,3,4,6,4,4,4,42,5,5,3,1,1,,33,31
7,1,13001.709517,1.059e-25,0.02195,0.0332,0.035,1246.4505,0.63,-0.0091,       b      0,       X      0,, P 29Q 28     d,5,8,7,7,5,3,45,26,15,12,1,2,,57,57
7,1,13002.18633,1.44e-30,0.0000002978,0.0312,0.034,1245.9725,0.63,-0.0093,       b      0,       X      0,, P 29O 30     q,5,7,6,6,5,3,47,28,7,4,1,2,,57,61
7,1,13003.447572,2.069e-27,0.01744,0.0447,0.045,1896.3431,0.65,-0.0074,       b      1,       X      1,, R 15Q 16     d,3,4,6,4,4,4,42,5,5,3,1,1,,33,33
7,2,13003.505971,1.991e-28,0.02235,0.0322,0.035,1260.8592,0.63,-0.0093,       b      0,       X      0,, P 30P 30     d,5,7,6,7,5,3,46,27,15,12,1,2,,59,61
7,1,13003.54671,1.355e-27,0.01623,0.0434,0.043,1992.1189,0.65,-0.0075,       b      1,       X      1,, R 17R 17     d,3,4,6,4,4,4,42,5,5,3,1,1,,37,35
7,3,13004.625304,5.06e-29,0.0243,0.0332,0.035,1212.2977,0.63,-0.0092,       b      0,       X      0,, P 29P 29     d,3,5,6,6,5,3,46,27,15,12,1,2,,342,354
